AnimalName,animalclass,animalbreed,animalcolour,animalgender,animaldesexed,suburb_name
Sheldon,Non-Standard - Concession,German Shepherd Dog,Black,M,N,NORTH HAVEN
Coco,Non-Standard - Concession,Jack Russell Terrier,Gold,F,N,NORTH HAVEN
Penny,Standard - Both desexed & microchipped,Beagle,Brown,F,Y,NORTH HAVEN
Daisy,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Blenheim,F,Y,NORTH HAVEN
Max,Non-Standard - Not desexed/microchipped,Maltese,White,M,Y,NORTH HAVEN
Molly,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Sasha,Standard - Both desexed & microchipped,Alaskan Malamute,Black,F,Y,NORTH HAVEN
Madison,Standard - Both desexed & microchipped,Maltese,Tan,F,Y,NORTH HAVEN
Barney,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Jenna,Standard - Both desexed & microchipped,Labrador Retriever,White,F,Y,NORTH HAVEN
Harvey,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Zoe,Non-Standard - Not desexed/microchipped,Jack Russell Terrier,Sable,F,N,NORTH HAVEN
Toto,Standard - Both desexed & microchipped,Jack Russell Terrier,Tan,M,Y,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Dachshund,Black,F,Y,NORTH HAVEN
Gunda,Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,White,F,Y,NORTH HAVEN
Gee,Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,Brindle,M,N,NORTH HAVEN
Ollie,Standard - Pension,Shih Tzu,Cream,M,Y,NORTH HAVEN
Mia,Standard - Pension,Maltese,Black,F,Y,NORTH HAVEN
Stella,Standard - Both desexed & microchipped,Greyhound,Blue,F,Y,NORTH HAVEN
Trooper,Standard - Both desexed & microchipped,Greyhound,Black,M,Y,NORTH HAVEN
Dakota,Non-Standard - Not desexed/microchipped,Greyhound,Black,F,N,NORTH HAVEN
Daisy,Non-Standard - Not desexed/microchipped,Greyhound,Red,F,N,NORTH HAVEN
Bailey,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Tri Colour,M,Y,NORTH HAVEN
Chloe,Standard - Both desexed & microchipped,Cocker Spaniel,Black,F,Y,NORTH HAVEN
Zach,Standard - Both desexed & microchipped,Australian Kelpie,Red,M,Y,NORTH HAVEN
Mia,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Grey,F,Y,NORTH HAVEN
Emmi,Standard - Both desexed & microchipped,Beagle,Black,F,Y,NORTH HAVEN
Xaida,Standard - Both desexed & microchipped,American Staffordshire Terrier,White,F,Y,NORTH HAVEN
Ollie,Standard - Both desexed & microchipped,Australian Kelpie,Red,M,Y,NORTH HAVEN
Tia,Non-Standard - Not desexed/microchipped,Australian Kelpie,Black,F,N,NORTH HAVEN
Scarlett,Standard - Both desexed & microchipped,German Shepherd Dog,Black,F,Y,NORTH HAVEN
Ruby,Standard - Both desexed & microchipped,Beagle,Tri Colour,F,Y,NORTH HAVEN
Indi,Standard - Concession,Australian Kelpie,Chocolate,F,Y,NORTH HAVEN
coco,Standard - Both desexed & microchipped,Belgian Shepherd Dog (Malinois),White,F,Y,NORTH HAVEN
Bonnie,Standard - Both desexed & microchipped,Jack Russell Terrier,White,F,Y,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Beagle,Black,F,Y,NORTH HAVEN
ryder,Standard - Both desexed & microchipped,Airedale Terrier,Brown,M,Y,NORTH HAVEN
Bella,Non-Standard - Not desexed/microchipped,West Highland White Terrier,White,F,Y,NORTH HAVEN
Maggie,Standard - Both desexed & microchipped,German Shorthaired Pointer,Chocolate,F,Y,NORTH HAVEN
Oscar,Standard - Concession,Maltese,White,M,Y,NORTH HAVEN
Georgia,Non-Standard - Concession,Jack Russell Terrier,Black,F,Y,NORTH HAVEN
Sasha,Standard - Both desexed & microchipped,Poodle (Toy),Fawn,F,Y,NORTH HAVEN
Harlow,Non-Standard - Not desexed/microchipped,Mastiff,Brown,F,N,NORTH HAVEN
